Дата,Открытие,Закрытие,Макс,Мин
10/4/2018,117110,117140,117070,117090
10/4/2018,117080,117110,117030,117030
10/4/2018,117030,117060,116860,116940
10/4/2018,116940,116990,116890,116970
10/4/2018,116970,117060,116930,117030
10/4/2018,117030,117050,116980,117030
10/4/2018,117030,117100,117000,117100
10/4/2018,117100,117100,117050,117070
10/4/2018,117070,117070,117020,117050
10/4/2018,117040,117090,117030,117060
10/4/2018,117060,117170,117050,117140
10/4/2018,117140,117140,117080,117100
10/4/2018,117100,117160,117070,117070
10/4/2018,117080,117080,116940,116960
10/4/2018,116950,116950,116740,116850
10/4/2018,116840,116880,116820,116830
10/4/2018,116850,116850,116780,116840
10/4/2018,116850,116870,116760,116810
10/4/2018,116800,116840,116790,116840
10/4/2018,116830,116910,116800,116890
10/4/2018,116880,116880,116830,116840
10/4/2018,116860,116860,116810,116860
10/4/2018,116850,116910,116830,116910
10/4/2018,116910,116910,116860,116860
10/4/2018,116860,116960,116860,116940
10/4/2018,116950,116960,116880,116930
10/4/2018,116930,116930,116860,116880
10/4/2018,116880,116890,116830,116870
10/4/2018,116860,116940,116850,116850
10/4/2018,116850,116940,116780,116790
10/4/2018,116790,116800,116750,116780
10/4/2018,116790,116870,116770,116870
10/4/2018,116870,116880,116840,116860
10/4/2018,116860,117000,116860,117000
10/4/2018,117000,117000,116900,116990
10/4/2018,116990,117140,116940,117130
10/4/2018,117140,117270,117130,117250
10/4/2018,117250,117370,117200,117290
10/4/2018,117280,117390,117280,117340
10/4/2018,117340,117390,117260,117280
10/4/2018,117270,117340,117230,117300
10/4/2018,117310,117370,117280,117340
10/4/2018,117340,117370,117240,117240
10/4/2018,117240,117310,117220,117230
10/4/2018,117240,117280,117030,117090
10/4/2018,117070,117210,117070,117120
10/4/2018,117110,117130,116950,117020
10/4/2018,117010,117030,116900,116900
10/4/2018,116910,116970,116900,116910
10/4/2018,116900,116960,116850,116920
10/4/2018,116910,116990,116900,116930
10/4/2018,116930,117000,116910,116910
10/4/2018,116910,117030,116890,117020
10/4/2018,117020,117110,116920,116990
10/4/2018,116990,117080,116950,117050
10/4/2018,117060,117110,117020,117060
10/4/2018,117060,117130,117040,117130
10/4/2018,117140,117190,117100,117110
10/4/2018,117120,117130,117060,117080
10/4/2018,117070,117090,117060,117060
10/4/2018,117050,117180,117030,117160
10/4/2018,117160,117250,117120,117230
10/4/2018,117230,117300,117180,117210
10/4/2018,117210,117250,117200,117210
10/4/2018,117210,117250,117200,117200
10/4/2018,117200,117200,117060,117090
10/4/2018,117100,117110,117080,117110
10/4/2018,117100,117110,117080,117090
10/4/2018,117090,117180,117070,117140
10/4/2018,117120,117120,116920,116950
10/4/2018,116940,116970,116920,116960
10/4/2018,116950,116960,116880,116960
10/4/2018,116960,117000,116940,116960
10/4/2018,116960,117010,116950,116980
10/4/2018,117000,117000,116920,116950
10/4/2018,116960,116980,116940,116980
10/4/2018,116980,116980,116940,116950
10/4/2018,116950,117020,116920,117020
10/4/2018,117020,117040,116950,117020
10/4/2018,117010,117070,116970,117040
10/4/2018,117050,117080,117000,117080
10/4/2018,117080,117150,117070,117100
10/4/2018,117100,117140,117060,117120
10/4/2018,117110,117110,116930,116940
10/4/2018,116930,116930,116810,116890
10/4/2018,116880,116950,116810,116940
10/4/2018,116940,117050,116910,117030
10/4/2018,117040,117100,117020,117050
10/4/2018,117040,117070,117010,117060
10/4/2018,117060,117090,117040,117060
10/4/2018,117080,117200,117010,117190
10/4/2018,117190,117260,117140,117210
10/4/2018,117220,117280,117200,117230
10/4/2018,117220,117220,117080,117110
10/4/2018,117100,117110,117000,117030
10/4/2018,117030,117080,117000,117070
10/4/2018,117060,117070,117020,117050
10/4/2018,117040,117050,117020,117030
10/4/2018,117020,117090,117020,117050
10/4/2018,117060,117080,117050,117080
10/4/2018,117090,117230,117060,117170
10/4/2018,117160,117250,117160,117240
10/4/2018,117240,117260,117110,117110
10/4/2018,117130,117150,117070,117140
10/4/2018,117120,117130,116930,117010
10/4/2018,117010,117020,116950,116980
10/4/2018,116970,117060,116960,117030
10/4/2018,117050,117100,117020,117080
10/4/2018,117080,117090,117050,117090
10/4/2018,117080,117080,117050,117050
10/4/2018,117060,117100,117030,117090
10/4/2018,117100,117100,117030,117040
10/4/2018,117060,117180,117050,117160
10/4/2018,117160,117240,117140,117220
10/4/2018,117210,117230,117130,117160
10/4/2018,117160,117160,117060,117110
10/4/2018,117110,117130,117070,117100
10/4/2018,117090,117150,117080,117080
10/4/2018,117080,117120,117080,117100
10/4/2018,117110,117150,117100,117110
10/4/2018,117120,117120,117070,117090
10/4/2018,117110,117130,117060,117070
10/4/2018,117060,117140,117050,117090
10/4/2018,117080,117120,117080,117110
